pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
3134,Exception Chaining and Embedded Tracebacks,Final,12-May-2005,28,5,1,0.36596148121434974
344,Exception Chaining and Embedded Tracebacks,Superseded,12-May-2005,28,1,1,0.3250192479821802
409,Suppressing exception context,Final,26-Jan-2012,28,2,2,0.05183637647271738
654,Exception Groups and except*,Final,22-Feb-2021,28,4,1,0.048619766924961
415,Implement context suppression with exception attributes,Final,26-Feb-2012,28,2,1,0.0399280197153615
515,Underscores in Numeric Literals,Final,10-Feb-2016,28,1,0,0.03083842513096307
657,Include Fine Grained Error Locations in Tracebacks,Final,08-May-2021,28,1,0,0.02239228777881406
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected,20-Oct-2020,28,1,1,0.01987326435799768
664,Python 3.11 Release Schedule,Active,12-Jul-2021,28,1,2,0.01987326435799768
678,Enriching Exceptions with Notes,Final,20-Dec-2021,28,1,2,0.01987326435799768
490,Chain exceptions at C level,Rejected,25-Mar-2015,28,0,3,0.013946150426665041
785,New methods for easier handling of ``ExceptionGroup``\ s,Draft,08-Apr-2025,28,0,1,0.013946150426665041
830,Add timestamps to exceptions and tracebacks,Draft,15-Mar-2026,28,0,2,0.013946150426665041
2026,Calendar versioning for Python,Rejected,11-Jun-2024,28,0,2,0.013946150426665041
