pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
10,Voting Guidelines,Active,07-Mar-2002,-1,0,0,
103,Collecting information about git,Withdrawn,01-Jun-2015,-1,0,0,
160,Python 1.6 Release Schedule,Final,25-Jul-2000,-1,0,0,
205,Weak References,Final,14-Jul-2000,-1,0,0,
210,Decoupling the Interpreter Loop,Rejected,15-Jul-2000,-1,0,0,
217,Display Hook for Interactive Use,Final,31-Jul-2000,-1,0,0,
221,Import As,Final,15-Aug-2000,-1,0,0,
222,Web Library Enhancements,Deferred,18-Aug-2000,-1,0,0,
229,Using Distutils to Build Python,Final,16-Nov-2000,-1,0,0,
242,Numeric Kinds,Withdrawn,17-Mar-2001,-1,0,0,
250,Using site-packages on Windows,Final,30-Mar-2001,-1,0,0,
259,Omit printing newline after newline,Rejected,11-Jun-2001,-1,0,0,
260,Simplify xrange(),Final,26-Jun-2001,-1,0,0,
261,"Support for ""wide"" Unicode characters",Final,27-Jun-2001,-1,0,0,
265,Sorting Dictionaries by Value,Rejected,08-Aug-2001,-1,0,0,
268,Extended HTTP functionality and WebDAV,Rejected,20-Aug-2001,-1,0,0,
271,Prefixing sys.path by command line option,Rejected,15-Aug-2001,-1,0,0,
272,API for Block Encryption Algorithms v1.0,Final,18-Sep-2001,-1,0,0,
295,Interpretation of multiline string constants,Rejected,22-Jul-2002,-1,0,0,
297,Support for System Upgrades,Rejected,19-Jul-2001,-1,0,0,
303,Extend divmod() for Multiple Divisors,Rejected,31-Dec-2002,-1,0,0,
316,Programming by Contract for Python,Deferred,02-May-2003,-1,0,0,
321,Date/Time Parsing and Formatting,Withdrawn,16-Sep-2003,-1,0,0,
326,A Case for Top and Bottom Values,Rejected,20-Dec-2003,-1,0,0,
330,Python Bytecode Verification,Rejected,17-Jun-2004,-1,0,0,
331,Locale-Independent Float/String Conversions,Final,19-Jul-2003,-1,0,0,
332,Byte vectors and String/Unicode Unification,Rejected,11-Aug-2004,-1,0,0,
336,Make None Callable,Rejected,28-Oct-2004,-1,0,0,
339,Design of the CPython Compiler,Withdrawn,02-Feb-2005,-1,0,0,
349,Allow str() to return unicode strings,Rejected,02-Aug-2005,-1,0,0,
350,Codetags,Rejected,27-Jun-2005,-1,0,0,
363,Syntax For Dynamic Attribute Access,Rejected,29-Jan-2007,-1,0,0,
365,Adding the pkg_resources module,Rejected,30-Apr-2007,-1,0,0,
379,Adding an Assignment Expression,Withdrawn,14-Mar-2009,-1,0,0,
389,argparse - New Command Line Parsing Module,Final,25-Sep-2009,-1,0,0,
401,BDFL Retirement,April Fool!,01-Apr-2009,-1,0,0,
